CHEMICAL,DISEASE,relación,oración
amoxicillin,Helicobacter pylori,otro,This study aimed to investigate the effects of different amoxicillin (AMX) dosing schedules on bismuth quadruple therapy in Helicobacter pylori treatment-naive patients.
AMX,Helicobacter pylori,otro,This study aimed to investigate the effects of different amoxicillin (AMX) dosing schedules on bismuth quadruple therapy in Helicobacter pylori treatment-naive patients.
bismuth,Helicobacter pylori,otro,This study aimed to investigate the effects of different amoxicillin (AMX) dosing schedules on bismuth quadruple therapy in Helicobacter pylori treatment-naive patients.
clarithromycin,pylori,tratamiento,"In conclusion, the eradication rate of first-line H. pylori therapy containing tegoprazan, clarithromycin, and bismuth was not affected by AMX dosing schedules administered twice and four times daily."
bismuth,pylori,tratamiento,"In conclusion, the eradication rate of first-line H. pylori therapy containing tegoprazan, clarithromycin, and bismuth was not affected by AMX dosing schedules administered twice and four times daily."
AMX,pylori,tratamiento,"In conclusion, the eradication rate of first-line H. pylori therapy containing tegoprazan, clarithromycin, and bismuth was not affected by AMX dosing schedules administered twice and four times daily."
SXT,IFI,otro,"SXT represents a promising empirical alternative in the case of IFI, irrespective of comorbidities and the WIfI score."
lincomycin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
erythromycin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
enrofloxacin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
penicillin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
amoxicillin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
cephalonium,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
cephalexin,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
ceftriaxone,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
lactate,infection,otro,"Cells were cultured with or without being pretreated with 40 microM of SeMet for 12 h, then challenged with N. cyriacigeorgica (multiplicity of infection = 5:1) for 6 h. Although N. cyriacigeorgica was resistant to lincomycin, erythromycin, enrofloxacin, penicillin, amoxicillin, cephalonium, cephalexin, and ceftriaxone, 40 muM SeMet increased cell viability and inhibited lactate dehydrogenase release in infected bMECs."
TNF-alpha,swelling,causa,"Furthermore, N. cyriacigeorgica significantly induced mRNA production and protein expression of TNF-alpha, IL-1beta, IL-6, and IL-8 at 6 h. Cell membrane rupture, cristae degeneration and mitochondria swelling were evident with transmission electron microscopy."
MDA,infection,otro,"In contrast, bMECs pretreated with 40 muM SeMet before infection, SOD, and GSH-px activities were upregulated (p < 0.05); MDA and ROS concentrations were downregulated (p < 0.05), and apoptosis was reduced (p < 0.05)."
ROS,infection,otro,"In contrast, bMECs pretreated with 40 muM SeMet before infection, SOD, and GSH-px activities were upregulated (p < 0.05); MDA and ROS concentrations were downregulated (p < 0.05), and apoptosis was reduced (p < 0.05)."
amoxicillin,XPS,otro,"Moreover, XPS confirmed the substitution of Ca(2+) ions with Mg(2+) and the presence of amoxicillin constituents in the MgHAp lattice."
fosfomycin,prostate,otro,"Recently, the German Federal Institute for Medicines and Medical Products restricted the use of fosfomycin in transrectal biopsy of the prostate (TRBP)."
ciprofloxacin,infection,otro,"Referring to the previous infection rates under the now obsolete ciprofloxacin, amoxicillin/clavulanic acid can show a similar, if not tendentially even lower, risk of infection, and so this substance can be an alternative for antibiotic prophylaxis in TRBP."
ciprofloxacin,infection,otro,"Referring to the previous infection rates under the now obsolete ciprofloxacin, amoxicillin/clavulanic acid can show a similar, if not tendentially even lower, risk of infection, and so this substance can be an alternative for antibiotic prophylaxis in TRBP."
amoxicillin/clavulanic acid,infection,otro,"Referring to the previous infection rates under the now obsolete ciprofloxacin, amoxicillin/clavulanic acid can show a similar, if not tendentially even lower, risk of infection, and so this substance can be an alternative for antibiotic prophylaxis in TRBP."
amoxicillin/clavulanic acid,infection,otro,"Referring to the previous infection rates under the now obsolete ciprofloxacin, amoxicillin/clavulanic acid can show a similar, if not tendentially even lower, risk of infection, and so this substance can be an alternative for antibiotic prophylaxis in TRBP."
beta-lactam,toxicity,efecto_adverso,"Therefore, the toxicity of three beta-lactam antibiotics on Escherichia coli (E. coli) was investigated by using the time-dependent toxicity microplate analysis method in this study."
beta-lactam,toxicity,efecto_adverso,"Therefore, the toxicity of three beta-lactam antibiotics on Escherichia coli (E. coli) was investigated by using the time-dependent toxicity microplate analysis method in this study."
meropenem,toxicity,efecto_adverso,"But, toxic effect of the three antibiotics on E. coli varies, and toxicity order is followed by meropenem > cefoperazone > amoxicillin."
cefoperazone,toxicity,efecto_adverso,"But, toxic effect of the three antibiotics on E. coli varies, and toxicity order is followed by meropenem > cefoperazone > amoxicillin."
amoxicillin,toxicity,efecto_adverso,"But, toxic effect of the three antibiotics on E. coli varies, and toxicity order is followed by meropenem > cefoperazone > amoxicillin."
penicillin,toxicity,efecto_adverso,Van der Waals forces play a vital role in the molecular interactions between the three antibiotics penicillin binding protein of E. coli and the sequence of binding free energy is consistent with the observed toxicity order.
carbon nanotubes,photosensitization,otro,This work is based on probing photosensitization in carbon nanotubes (CNTs) by organotin(IV) compounds to fabricate a hybrid material with excellent photocatalytic activity and generation of reactive oxygen species.
oxygen,photosensitization,otro,This work is based on probing photosensitization in carbon nanotubes (CNTs) by organotin(IV) compounds to fabricate a hybrid material with excellent photocatalytic activity and generation of reactive oxygen species.
oxygen,XPS,otro,"The so obtained hybrid materials (1@CNT and 2@CNT) were characterized by FTIR, TGA, FE-SEM, HR-TEM, PXRD and XPS analysis, and assessed for photosensitization and generation of reactive oxygen species."
oxygen,photosensitization,otro,"The so obtained hybrid materials (1@CNT and 2@CNT) were characterized by FTIR, TGA, FE-SEM, HR-TEM, PXRD and XPS analysis, and assessed for photosensitization and generation of reactive oxygen species."
cream,palmo-plantar erythema,otro,"CASE DESCRIPTION: Patient (29 years old) with palmo-plantar erythema, goes to the community pharmacy (FC) requesting a cream to treat atopy."
cream,atopy,otro,"CASE DESCRIPTION: Patient (29 years old) with palmo-plantar erythema, goes to the community pharmacy (FC) requesting a cream to treat atopy."
cephalosporins,Allergy,otro,"Allergy tests suggested avoiding beta-lactams, cephalosporins, and arylpropionics without being conclusive."
RNM,hypersensitivity,efecto_adverso,"CONCLUSIONS: The FC identified and immediately referred using SPIF a case of hypersensitivity in a patient susceptible to RNM and the SPIF helps to record the intervention and follow-up, increasing patient safety."
amoxicillin,DRESS syndrome,causa,This case demonstrated with importance of recognizing DRESS syndrome presenting without the typical eosinophilia due to possible cross-reactivity between amoxicillin and the well-documented inciting medication lamotrigine.
amoxicillin,eosinophilia,causa,This case demonstrated with importance of recognizing DRESS syndrome presenting without the typical eosinophilia due to possible cross-reactivity between amoxicillin and the well-documented inciting medication lamotrigine.
lamotrigine,DRESS syndrome,causa,This case demonstrated with importance of recognizing DRESS syndrome presenting without the typical eosinophilia due to possible cross-reactivity between amoxicillin and the well-documented inciting medication lamotrigine.
lamotrigine,eosinophilia,causa,This case demonstrated with importance of recognizing DRESS syndrome presenting without the typical eosinophilia due to possible cross-reactivity between amoxicillin and the well-documented inciting medication lamotrigine.
